Player ID,Full Name,Position,Nationality,Birthday,Height(cm),Weight(kg)
43,Cameron Archer,Forward,England,09/12/2001,171,72
44,Alphonse Areola,Goalkeeper,France,27/02/1993,195,94
45,Stuart Armstrong,Midfielder,Scotland,30/03/1992,183,75
46,Kepa Arrizabalaga,Goalkeeper,Spain,03/10/1994,189,84
47,Harrison Ashby,Defender,Scotland,14/11/2001,\N,\N
48,Yáser Asprilla,Midfielder,Colombia,19/11/2003,185,\N
49,Ryan Astley,Defender,Wales,04/10/2001,\N,\N
50,Christian Atsu,Midfielder,Ghana,10/01/1992,165,\N
51,Pierre-Emerick Aubameyang,Forward,Gabon,18/06/1989,187,80
52,Sèrge Aurier,Defender,Cote D’Ivoire,24/12/1992,176,76
53,Brandon Austin,Goalkeeper,England,08/01/1999,188,82
54,Zach Awe,Defender,England,09/01/2004,\N,\N
55,Taiwo Awoniyi,Forward,Nigeria,12/08/1997,183,84
56,Jordan Ayew,Forward,Ghana,11/09/1991,182,80
57,Luke Ayling,Defender,England,25/08/1991,185,72
58,Miguel Azeez,Midfielder,England,20/09/2002,\N,\N
59,César Azpilicueta,Defender,Spain,28/08/1989,178,76
60,Kwadwo Baah,Midfielder,Germany,27/01/2003,\N,\N
61,Abdul Rahman Baba,Defender,Ghana,02/07/1994,180,\N
62,Daniel Bachmann,Goalkeeper,Austria,09/07/1994,191,\N
63,Leon Bailey,Forward,Jamaica,09/08/1997,178,77
64,Eric Bailly,Defender,Cote D’Ivoire,12/04/1994,187,\N
65,Tiemoué Bakayoko,Midfielder,France,17/08/1994,185,\N
66,Lewis Baker,Midfielder,England,25/04/1995,182,\N
67,James Balagizi,Midfielder,England,20/09/2003,\N,\N
68,Fabián Balbuena,Defender,Paraguay,23/08/1991,188,\N
69,Ellery Balcombe,Goalkeeper,England,15/10/1999,190,\N
70,Gareth Bale,Forward,Wales,16/07/1989,185,\N
71,Folarin Balogun,Forward,England,03/07/2001,178,\N
72,Tudor Baluta,Defender,Romania,27/03/1999,192,\N
73,Patrick Bamford,Forward,England,05/09/1993,185,71
74,Beni Baningime,Midfielder,DR Congo,09/09/1998,178,\N
75,Scott Banks,Midfielder,Scotland,26/09/2001,\N,\N
76,Shandon Baptiste,Midfielder,Grenada,08/04/1998,175,67
77,Daniel Barden,Goalkeeper,Wales,02/01/2001,195,\N
78,Phil Bardsley,Defender,Scotland,28/06/1985,180,\N
79,Ross Barkley,Midfielder,England,05/12/1993,189,\N
80,Ashley Barnes,Forward,England,30/10/1989,186,\N
81,Mason Barrett,Defender,England,24/09/1999,\N,\N
82,Louie Barry,Forward,England,21/06/2003,\N,\N
83,Lewis Bate,Midfielder,England,28/10/2002,\N,\N
84,Michy Batshuayi,Forward,Belgium,02/10/1993,184,\N
85,Nathan Baxter,Goalkeeper,England,08/11/1998,191,\N
86,Mads Bech Sørensen,Defender,Denmark,07/01/1999,189,\N
87,Owen Beck,Defender,Wales,09/08/2002,\N,\N
88,Jan Bednarek,Defender,Poland,12/04/1996,189,77
89,Asmir Begovic,Goalkeeper,Bosnia & Herzegovina,20/06/1987,199,101
90,Héctor Bellerín,Defender,Spain,19/03/1995,178,\N
91,Ben Gibson,Defender,England,15/01/1993,185,\N
92,Ben Woodburn,Midfielder,Wales,15/10/1999,174,\N
93,Filip Benkovic,Defender,Croatia,13/07/1997,194,\N
94,J'Neil Bennett,Forward,England,07/12/2001,\N,\N
95,Saïd Benrahma,Forward,Algeria,10/08/1995,172,67
96,Josh Benson,Midfielder,England,05/12/1999,178,\N
97,Rodrigo Bentancur,Midfielder,Uruguay,25/06/1997,187,72
98,Christian Benteke,Forward,Belgium,03/12/1990,190,\N
99,Gaetano Berardi,Defender,Switzerland,21/08/1988,179,\N
100,Lucas Bergström,Goalkeeper,Finland,05/09/2002,199,\N
101,Steven Bergwijn,Forward,Netherlands,08/10/1997,178,\N
102,Adrián Bernabé,Midfielder,Spain,26/05/2001,170,\N
103,Bernard,Forward,Brazil,08/09/1992,164,\N
104,Bernardo,Defender,Brazil,14/05/1995,186,\N
105,Bernardo Silva,Midfielder,Portugal,10/08/1994,173,64
106,Ryan Bertrand,Defender,England,05/08/1989,179,85
107,Muhamed Besic,Midfielder,Bosnia & Herzegovina,10/09/1992,180,\N
108,Marcus Bettinelli,Goalkeeper,England,24/05/1992,194,82
109,Mads Bidstrup,Midfielder,Denmark,25/02/2001,175,\N
110,Mika Biereth,Forward,Denmark,08/02/2003,\N,\N
111,Nathan Bishop,Goalkeeper,England,15/10/1999,185,\N
112,Yves Bissouma,Midfielder,Mali,30/08/1996,182,80
113,Harvey Blair,Forward,England,14/09/2003,\N,\N
114,Adrian Blake,Midfielder,England,15/07/2005,\N,\N
115,Oscar Bobb,Midfielder,Norway,12/07/2003,\N,\N
116,Lamare Bogarde,Midfielder,Netherlands,05/01/2004,\N,\N
117,Mateusz Bogusz,Midfielder,Poland,22/08/2001,175,\N
118,Bendegúz Bolla,Defender,Hungary,22/11/1999,179,\N
119,Luke Bolton,Midfielder,England,07/10/1999,174,\N
120,Willy Boly,Defender,Cote D’Ivoire,03/02/1991,195,92
121,Jamie Bowden,Midfielder,Ireland,09/07/2001,\N,\N
122,Jarrod Bowen,Forward,England,20/12/1996,175,70
123,Conor Bradley,Defender,Northern Ireland,09/07/2003,180,\N
124,Jarrad Branthwaite,Defender,England,27/06/2002,195,\N
125,Sammy Braybrooke,Midfielder,England,12/03/2004,\N,\N
126,Mungo Bridge,Forward,England,12/09/2000,\N,\N
127,Nathan Broadhead,Forward,Wales,05/04/1998,178,\N
128,Armando Broja,Forward,Albania,10/09/2001,191,\N
129,Josh Brownhill,Midfielder,England,19/12/1995,180,\N
130,Bruno Fernandes,Midfielder,Portugal,08/09/1994,179,69
131,Bruno Guimarães,Midfielder,Brazil,16/11/1997,182,74
132,Bruno Jordão,Midfielder,Portugal,12/10/1998,180,\N
133,Lewis Brunt,Midfielder,England,06/11/2000,\N,\N
134,Emiliano Buendía,Midfielder,Argentina,25/12/1996,172,72
135,Hugo Bueno,Defender,Spain,18/09/2002,180,73
136,Dan Burn,Defender,England,09/05/1992,198,87
137,Finley Burns,Defender,England,17/06/2003,\N,\N
138,Jack Butland,Goalkeeper,England,10/03/1993,196,95
139,Willy Caballero,Goalkeeper,Argentina,28/09/1981,186,81
140,Gary Cahill,Defender,England,19/12/1985,193,\N
141,Moisés Caicedo,Midfielder,Ecuador,02/11/2001,178,73
142,Jake Cain,Midfielder,England,02/09/2001,\N,\N
143,Callum Rowe,Defender,England,02/09/1999,\N,\N
144,Dominic Calvert-Lewin,Forward,England,16/03/1997,187,71
145,Leonardo Campana,Forward,Ecuador,24/07/2000,187,\N
146,Chem Campbell,Midfielder,Wales,30/12/2002,\N,\N
147,Sergi Canós,Forward,Spain,02/02/1997,177,75
148,Todd Cantwell,Midfielder,England,27/02/1998,177,\N
149,Elia Caprile,Goalkeeper,Italy,25/08/2001,191,\N
150,Carlos Vinícius,Forward,Brazil,25/03/1995,190,86
151,Andy Carroll,Forward,England,06/01/1989,193,\N
152,Scott Carson,Goalkeeper,England,03/09/1985,188,85
153,Cameron Carter-Vickers,Defender,United States,31/12/1997,183,\N
154,Oliver Casey,Defender,England,14/10/2000,188,\N
155,Matty Cash,Defender,Poland,07/08/1997,185,\N
156,Timothy Castagne,Defender,Belgium,05/12/1995,185,80
157,Craig Cathcart,Defender,Northern Ireland,06/02/1989,188,\N
158,Edinson Cavani,Forward,Uruguay,14/02/1987,184,\N
159,Dani Ceballos,Midfielder,Spain,07/08/1996,179,\N
160,Cédric Soares,Defender,Portugal,31/08/1991,172,67
161,Kallum Cesay,Defender,Sierra Leone,04/09/2002,\N,\N
162,Trevoh Chalobah,Defender,England,05/07/1999,190,75
163,Calum Chambers,Defender,England,20/01/1995,182,66
164,Shea Charles,Defender,Northern Ireland,05/11/2003,\N,\N
165,Kgaogelo Chauke,Midfielder,England,08/01/2003,\N,\N
166,Daniel Chesters,Midfielder,England,04/04/2002,\N,\N
167,Ben Chilwell,Defender,England,21/12/1996,178,77
168,Chiquinho,Forward,Portugal,05/02/2000,179,73
169,Tahith Chong,Midfielder,Netherlands,04/12/1999,185,\N
170,Hamza Choudhury,Midfielder,England,01/10/1997,178,\N
171,Ben Chrisene,Midfielder,England,12/01/2004,\N,\N
172,Andreas Christensen,Defender,Denmark,10/04/1996,187,\N
173,Christian Marques,Defender,Portugal,15/01/2003,187,\N
174,Carney Chukwuemeka,Midfielder,England,20/10/2003,\N,\N
175,Dennis Cirkin,Defender,England,06/04/2002,181,\N
176,CJ Egan-Riley,Defender,England,02/01/2003,\N,\N
177,Ciaran Clark,Defender,Ireland,26/09/1989,185,\N
178,Harry Clarke,Defender,England,02/03/2001,180,\N
179,Jake Clarke-Salter,Defender,England,22/09/1997,188,\N
180,Leighton Clarkson,Midfielder,England,19/10/2001,175,\N
181,Tom Cleverley,Midfielder,England,12/08/1989,175,\N
182,Nathaniel Clyne,Defender,England,05/04/1991,175,67
183,Conor Coady,Defender,England,25/02/1993,185,73
184,Alex Cochrane,Defender,England,21/04/2000,173,\N
185,Séamus Coleman,Defender,Ireland,11/10/1988,177,67
186,Nathan Collins,Defender,Ireland,30/04/2001,193,\N
187,Aaron Connolly,Forward,Ireland,28/01/2000,\N,\N
188,Kamil Conteh,Midfielder,Sierra Leone,26/12/2002,177,\N
189,Liam Cooper,Defender,Scotland,30/08/1991,180,73
190,Theo Corbeanu,Forward,Canada,17/05/2002,190,\N
191,Jack Cork,Midfielder,England,25/06/1989,183,\N
192,Maxwel Cornet,Forward,Cote D’Ivoire,27/09/1996,179,69
193,Dara Costelloe,Forward,Ireland,11/12/2002,\N,\N
194,Ben Cottrell,Midfielder,England,31/10/2001,\N,\N
195,Vladimír Coufal,Defender,Czech Republic,22/08/1992,179,76
196,Conor Coventry,Midfielder,Ireland,25/03/2000,177,\N
197,Matthew Cox,Goalkeeper,England,02/05/2003,182,64
198,Michael Craig,Midfielder,Scotland,16/04/2003,\N,\N
199,Charlie Cresswell,Defender,England,17/08/2002,\N,\N
200,Kane Crichlow,Midfielder,Bermuda,21/08/2000,\N,\N
201,Cristiano Ronaldo,Forward,Portugal,05/02/1985,187,83
202,Cucho Hernández,Forward,Colombia,20/04/1999,176,\N
203,Marc Cucurella,Defender,Spain,22/07/1998,172,66
204,Tiago Çukur,Forward,Turkey,30/11/2002,196,\N
205,Jamie Cumming,Goalkeeper,England,04/09/1999,186,\N
206,Luke Cundle,Midfielder,England,26/04/2002,\N,\N
207,Patrick Cutrone,Forward,Italy,03/01/1998,183,\N
208,Renat Dadahov,Forward,Azerbaijan,17/05/1999,186,\N
209,Pontus Dahlberg,Goalkeeper,Sweden,21/01/1999,194,\N
210,Patson Daka,Forward,Zambia,09/10/1998,183,71
211,Sam Dalby,Forward,England,07/12/1999,\N,\N
212,Vontae Daley-Campbell,Defender,England,02/04/2001,\N,\N
213,Stuart Dallas,Defender,Northern Ireland,19/04/1991,183,81
214,Henrik Dalsgaard,Defender,Denmark,27/07/1989,192,\N
215,Daniel Podence,Midfielder,Portugal,21/10/1995,165,58
216,Luke Daniels,Goalkeeper,England,05/01/1988,185,\N
217,Scott Dann,Defender,England,14/02/1987,188,\N
218,Karl Darlow,Goalkeeper,England,08/10/1990,190,88
219,Josh Dasilva,Midfielder,England,23/10/1998,184,75
220,David Luiz,Defender,Brazil,22/04/1987,189,\N
221,Tom Davies,Midfielder,England,30/06/1998,180,70
222,Keinan Davis,Forward,England,13/02/1998,191,\N
223,Craig Dawson,Defender,England,06/05/1990,188,82
224,Laurens De Bock,Defender,Belgium,07/11/1992,179,\N
225,Lucas De Bolle,Midfielder,Scotland,22/10/2002,\N,\N
226,Kevin De Bruyne,Midfielder,Belgium,28/06/1991,181,68
227,David de Gea,Goalkeeper,Spain,07/11/1990,192,76
228,Troy Deeney,Forward,England,29/06/1988,183,\N
229,Liam Delap,Forward,England,08/02/2003,\N,\N
230,Fabian Delph,Midfielder,England,21/11/1989,174,\N
231,Lars Dendoncker,Defender,Belgium,03/04/2001,\N,\N
232,Emmanuel Dennis,Forward,Nigeria,15/11/1997,175,67
233,Halil Dervisoglu,Forward,Turkey,08/12/1999,183,\N
234,Alfie Devine,Midfielder,England,01/08/2004,179,\N
235,Kiernan Dewsbury-Hall,Midfielder,England,06/09/1998,\N,\N
236,Amad Diallo,Forward,Cote D’Ivoire,11/07/2002,173,\N
237,Luis Díaz,Forward,Colombia,13/01/1997,178,65
238,Tyler Dibling,Midfielder,England,12/03/2006,\N,\N
239,Thomas Dickson-Peters,Forward,Scotland,16/09/2002,\N,\N
240,Diego Rosa,Midfielder,Brazil,12/10/2002,180,\N
241,Eric Dier,Defender,England,15/01/1994,188,88
242,Lucas Digne,Defender,France,20/07/1993,178,74
243,Diogo Dalot,Defender,Portugal,18/03/1999,183,76
244,Diogo Jota,Forward,Portugal,04/12/1996,178,68
245,Issa Diop,Defender,France,09/01/1997,194,92
246,Elijah Dixon-Bonner,Midfielder,England,01/01/2001,\N,\N
247,Moussa Djenepo,Midfielder,Mali,15/06/1998,177,65
248,Lewis Dobbin,Forward,England,03/01/2003,\N,\N
249,Owen Dodgson,Defender,England,19/03/2003,\N,\N
250,Matt Doherty,Defender,Ireland,16/01/1992,185,80
251,Domingos Quina,Midfielder,Portugal,18/11/1999,179,\N
252,Abdoulaye Doucouré,Midfielder,Mali,01/01/1993,184,75
253,Douglas Luiz,Midfielder,Brazil,09/05/1998,175,66
254,Kieran Dowell,Midfielder,England,10/10/1997,175,\N
255,Tommy Doyle,Midfielder,England,17/10/2001,\N,\N
256,Cody Drameh,Defender,England,08/12/2001,\N,\N
257,Danny Drinkwater,Midfielder,England,05/03/1990,178,\N
258,Anthony Driscoll-Glennon,Defender,England,26/11/1999,181,\N
259,Josip Drmic,Forward,Switzerland,08/08/1992,183,\N
260,Martin Dúbravka,Goalkeeper,Slovakia,15/01/1989,190,83
261,Shane Duffy,Defender,Ireland,01/01/1992,193,76
262,Paul Dummett,Defender,Wales,26/09/1991,183,82
263,Lewis Dunk,Defender,England,21/11/1991,192,88
264,Jimmy Dunne,Defender,Ireland,19/10/1997,183,\N
265,Frankie Ealing,Defender,England,14/07/2004,\N,\N
266,Ederson,Goalkeeper,Brazil,17/08/1993,188,86
267,Odsonne Édouard,Forward,France,16/01/1998,187,83
268,Samuel Edozie,Forward,England,28/01/2003,\N,\N
269,Pierre Ekwah,Midfielder,France,15/01/2002,\N,\N
270,Anwar El Ghazi,Forward,Netherlands,03/05/1995,188,\N
271,Anthony Elanga,Forward,Sweden,27/04/2002,178,\N
272,Robert Elliot,Goalkeeper,Ireland,30/04/1986,190,\N
273,Harvey Elliott,Midfielder,England,04/04/2003,170,\N
274,Mohamed Elyounoussi,Midfielder,Norway,04/08/1994,178,70
275,Emerson,Defender,Italy,03/08/1994,176,63
276,Emerson Royal,Defender,Brazil,14/01/1999,181,79
277,Björn Engels,Defender,Belgium,15/09/1994,193,\N
278,Christian Eriksen,Midfielder,Denmark,14/02/1992,182,76
279,Peter Etebo,Midfielder,Nigeria,09/11/1995,172,\N
280,Jonny Evans,Defender,Northern Ireland,03/01/1988,188,77
281,Oliver Ewing,Midfielder,Wales,03/01/2003,\N,\N
282,Timothy Eyoma,Defender,England,29/01/2000,183,\N
283,Eberechi Eze,Midfielder,England,29/06/1998,\N,\N
284,Lukasz Fabianski,Goalkeeper,Poland,18/04/1985,190,83
285,Fabinho,Midfielder,Brazil,23/10/1993,188,78
286,Fábio Silva,Forward,Portugal,19/07/2002,185,\N
287,Malachi Fagan-Walcott,Defender,England,11/03/2002,\N,\N
288,Akin Famewo,Defender,England,09/11/1998,187,\N
289,Juan Familia-Castillo,Defender,Netherlands,13/01/2000,\N,\N
290,Josh Feeney,Defender,England,06/05/2005,193,\N
291,Felipe Anderson,Midfielder,Brazil,15/04/1993,175,\N
292,Felix Nmecha,Midfielder,Germany,10/10/2000,188,\N
293,Kiko Femenía,Defender,Spain,02/02/1991,176,\N
294,Evan Ferguson,Forward,Ireland,19/10/2004,\N,\N
295,Álvaro Fernández,Defender,Spain,23/03/2003,186,\N
296,Fernandinho,Midfielder,Brazil,04/05/1985,179,\N
297,Will Ferry,Midfielder,Ireland,07/12/2000,176,\N
298,Ryan Finnigan,Midfielder,England,23/09/2003,\N,\N
299,Junior Firpo,Defender,Spain,22/08/1996,184,78
300,William Fish,Defender,England,17/02/2003,185,\N
301,Ethan Fitzhugh,Midfielder,England,27/11/2002,\N,\N
302,Ashley Fletcher,Forward,England,02/10/1995,185,\N
303,Marcelo Flores,Midfielder,Mexico,01/10/2003,\N,\N
304,Shane Flynn,Midfielder,Ireland,14/10/2001,\N,\N
305,Phil Foden,Midfielder,England,28/05/2000,171,70
306,Wesley Fofana,Defender,France,17/12/2000,190,\N
307,Shaqai Forde,Midfielder,England,05/05/2004,\N,\N
308,Pablo Fornals,Midfielder,Spain,22/02/1996,178,67
309,Adam Forshaw,Midfielder,England,08/10/1991,174,71
310,Marcus Forss,Forward,Finland,18/06/1999,182,\N
311,Fraser Forster,Goalkeeper,England,17/03/1988,201,93
312,Ben Foster,Goalkeeper,England,03/04/1983,193,\N
313,Tariqe Fosu-Henry,Midfielder,Ghana,05/11/1995,180,\N
314,Ryan Fraser,Midfielder,Scotland,24/02/1994,163,70
315,Melkamu Frauendorf,Midfielder,Germany,12/01/2004,\N,\N
316,Fred,Midfielder,Brazil,05/03/1993,169,64
317,Freddie Woodman,Goalkeeper,England,04/03/1997,188,\N
318,Ryan Fredericks,Defender,England,10/10/1992,181,74
319,Christian Fuchs,Defender,Austria,07/04/1986,187,\N
320,James Furlong,Defender,Ireland,07/06/2002,\N,\N
321,Gabriel Jesus,Forward,Brazil,03/04/1997,175,73
322,Gabriel Magalhães,Defender,Brazil,19/12/1997,190,78
323,Gabriel Martinelli,Forward,Brazil,18/06/2001,178,75
324,Ethan Galbraith,Midfielder,Northern Ireland,11/05/2001,175,\N
325,Conor Gallagher,Midfielder,England,06/02/2000,182,\N
326,Eric García,Defender,Spain,09/01/2001,182,\N
327,Alejandro Garnacho,Midfielder,Argentina,01/07/2004,180,80
328,James Garner,Midfielder,England,13/03/2001,186,78
329,Dwight Gayle,Forward,England,17/10/1989,174,\N
330,Jean-Philippe Gbamin,Midfielder,Cote D’Ivoire,25/09/1995,186,\N
331,Joe Gelhardt,Forward,England,04/05/2002,175,65
332,Rachid Ghezzal,Midfielder,Algeria,09/05/1992,182,\N
333,Saman Ghoddos,Forward,Iran,06/09/1993,176,75
334,Dimitris Giannoulis,Defender,Greece,17/10/1995,175,\N
335,Liam Gibbs,Midfielder,England,16/12/2002,\N,\N
336,Morgan Gibbs-White,Midfielder,England,27/01/2000,171,\N
337,Lewis Gibson,Defender,England,19/07/2000,185,\N
338,Bryan Gil,Forward,Spain,11/02/2001,175,60
339,Alex Gilbert,Forward,Ireland,28/12/2001,\N,\N
340,Ryan Giles,Midfielder,England,26/01/2000,179,\N
341,Mark Gillespie,Goalkeeper,England,27/03/1992,192,83
342,Billy Gilmour,Midfielder,Scotland,11/06/2001,166,60
343,Olivier Giroud,Forward,France,30/09/1986,192,\N
344,Ben Godfrey,Defender,England,15/01/1998,183,74
345,Pierluigi Gollini,Goalkeeper,Italy,18/03/1995,194,\N
346,Claudio Gomes,Midfielder,France,23/07/2000,164,\N
347,Joe Gomez,Defender,England,23/05/1997,188,77
348,Charlie Goode,Defender,England,03/08/1995,196,89
349,Lewis Gordon,Defender,Scotland,12/02/2001,\N,\N
350,Dan Gosling,Midfielder,England,01/02/1990,183,\N
351,Kamil Grabara,Goalkeeper,Poland,08/01/1999,195,\N
352,Lee Grant,Goalkeeper,England,27/01/1983,193,\N
353,Demarai Gray,Forward,England,28/06/1996,180,74
354,Jack Grealish,Midfielder,England,10/09/1995,175,68
355,Sam Greenwood,Forward,England,26/01/2002,185,\N
356,Jack Grieves,Forward,England,05/12/2004,\N,\N
357,Pascal Groß,Midfielder,Germany,15/06/1991,181,78
358,Marko Grujic,Midfielder,Serbia,13/04/1996,191,\N
359,Vicente Guaita,Goalkeeper,Spain,10/01/1987,190,81
360,Jóhann Gudmundsson,Midfielder,Iceland,27/10/1990,186,\N
361,Marc Guéhi,Defender,England,13/07/2000,182,82
362,Mattéo Guendouzi,Midfielder,France,14/04/1999,185,\N
363,Frédéric Guilbert,Defender,France,24/12/1994,178,70
364,Ilkay Gündogan,Midfielder,Germany,24/10/1990,180,80
365,Angus Gunn,Goalkeeper,England,22/01/1996,196,\N
366,Patrik Gunnarsson,Goalkeeper,Iceland,15/11/2000,190,\N
367,Peter Gwargis,Midfielder,Sweden,04/09/2000,\N,\N
368,Viktor Gyökeres,Forward,Sweden,04/06/1998,187,\N
369,Micah Hamilton,Midfielder,England,13/11/2003,\N,\N
370,Grant Hanley,Defender,Scotland,20/11/1991,187,\N
371,Reece Hannam,Defender,England,11/09/2000,\N,\N
372,Bjorn Hardley,Defender,Netherlands,19/12/2002,\N,\N
373,Jack Harrison,Midfielder,England,20/11/1996,175,70
374,Joe Hart,Goalkeeper,England,19/04/1987,196,\N
375,Taylor Harwood-Bellis,Defender,England,30/01/2002,188,\N
376,Kortney Hause,Defender,England,16/07/1995,191,\N
377,Kai Havertz,Midfielder,Germany,11/06/1999,188,83
378,Kaine Hayden,Defender,England,23/10/2002,\N,\N
379,Maxwell Haygarth,Midfielder,England,21/01/2002,\N,\N
380,Tom Heaton,Goalkeeper,England,15/04/1986,188,85
381,Karl Hein,Goalkeeper,Estonia,13/04/2002,193,\N
382,Philip Heise,Defender,Germany,20/06/1991,184,\N
383,Hélder Costa,Forward,Angola,12/01/1994,178,\N
384,Mark Helm,Midfielder,England,21/10/2001,\N,\N
385,Stephen Henderson,Goalkeeper,Ireland,02/05/1988,193,\N
386,Jeff Hendrick,Midfielder,Ireland,31/01/1992,185,\N
387,Wayne Hennessey,Goalkeeper,Wales,24/01/1987,198,90
388,Rico Henry,Defender,England,08/07/1997,170,67
389,Jack Henry-Francis,Midfielder,Ireland,23/09/2003,\N,\N
390,Onel Hernández,Midfielder,Cuba,01/02/1993,172,\N
391,Thomas Hill,Forward,England,13/10/2002,\N,\N
392,James Hillson,Goalkeeper,England,14/01/2001,\N,\N
393,Leo Hjelde,Defender,Norway,26/08/2003,188,\N
394,Wesley Hoedt,Defender,Netherlands,06/03/1994,188,\N
395,Ki-Jana Hoever,Defender,Netherlands,18/01/2002,180,\N
396,Rob Holding,Defender,England,20/09/1995,189,81
397,Mason Holgate,Defender,England,22/10/1996,184,63
398,Nathan Holland,Midfielder,England,19/06/1998,178,\N
399,Conor Hourihane,Midfielder,Ireland,02/02/1991,180,\N
400,Callum Hudson-Odoi,Midfielder,England,07/11/2000,182,\N
401,Niall Huggins,Defender,Wales,18/12/2000,\N,\N
402,Will Hughes,Midfielder,England,17/04/1995,185,74
403,Joe Hugill,Forward,England,19/10/2003,\N,\N
404,Joseph Hungbo,Midfielder,England,15/01/2000,\N,\N
405,Mackenzie Hunt,Midfielder,England,14/11/2001,\N,\N
406,Omari Hutchinson,Midfielder,Jamaica,29/10/2003,\N,\N
407,Hwang Hee-Chan,Forward,South Korea,26/01/1996,177,77
408,Pierre-Emile Højbjerg,Midfielder,Denmark,05/08/1995,187,84
409,Adam Idah,Forward,Ireland,11/02/2001,190,\N
410,Kelechi Iheanacho,Forward,Nigeria,03/10/1996,185,82
411,Danny Ings,Forward,England,23/07/1992,178,73
412,Tim Iroegbunam,Midfielder,England,30/06/2003,\N,\N
413,Einar Iversen,Midfielder,Norway,06/06/2001,\N,\N
414,Alex Iwobi,Forward,Nigeria,03/05/1996,180,75
415,José Izquierdo,Forward,Colombia,07/07/1992,171,\N
416,Jaroslaw Jach,Defender,Poland,17/02/1994,192,\N
417,Alireza Jahanbakhsh,Forward,Iran,11/08/1993,180,\N
418,Eldin Jakupovic,Goalkeeper,Switzerland,02/10/1984,191,85
419,Reece James,Defender,England,08/12/1999,182,82
420,Vitaly Janelt,Midfielder,Germany,10/05/1998,184,79
421,Alexandre Jankewitz,Midfielder,Switzerland,25/12/2001,179,\N
422,Pontus Jansson,Defender,Sweden,13/02/1991,194,89
423,Vítezslav Jaros,Goalkeeper,Czech Republic,23/07/2001,\N,\N
424,Taylor Jay-Hart,Midfielder,England,18/12/2003,179,\N
425,Julian Jeanvier,Defender,Guinea,31/03/1992,183,\N
426,Jack Jenkins,Midfielder,England,23/03/2002,\N,\N
427,Teddy Jenks,Midfielder,England,12/03/2002,191,\N
428,Mathias Jensen,Midfielder,Denmark,01/01/1996,180,68
429,Jeong Sang-Bin,Forward,South Korea,01/04/2002,173,\N
430,Raúl Jiménez,Forward,Mexico,05/05/1991,190,76
431,João Cancelo,Defender,Portugal,27/05/1994,182,74
432,João Moutinho,Midfielder,Portugal,08/09/1986,170,61
433,João Pedro,Forward,Brazil,26/09/2001,182,\N
434,João Virgínia,Goalkeeper,Portugal,10/10/1999,198,\N
435,Joelinton,Forward,Brazil,14/08/1996,186,81
436,Kyle John,Defender,England,13/02/2001,\N,\N
